datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-01 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 09:30:00-05:00,99268.39981079102,150119.25094604492,-0.007316001892089807
2020-02-05 09:30:00-05:00,98617.40264892578,150119.25094604492,-0.0065579495902629015
2020-02-06 09:30:00-05:00,98363.20037841797,150119.25094604492,-0.002577661383080243
2020-02-07 09:30:00-05:00,98532.14981079102,150119.25094604492,0.0017176081270544596
2020-02-08 09:30:00-05:00,98532.14981079102,150119.25094604492,0.0
2020-02-10 09:30:00-05:00,98778.59924316406,150119.25094604492,0.002501208314710457
2020-02-11 09:30:00-05:00,96895.34204101562,225308.4634399414,-0.019065437418406828
2020-02-12 09:30:00-05:00,96639.40856933594,225308.4634399414,-0.002641339266559961
2020-02-13 09:30:00-05:00,97009.94903564453,225308.4634399414,0.0038342584230814936
2020-02-14 09:30:00-05:00,95826.88153076172,337821.55853271484,-0.012195321373152268
2020-02-15 09:30:00-05:00,95826.88153076172,337821.55853271484,0.0
2020-02-18 09:30:00-05:00,96543.88153076172,337821.55853271484,0.007482242858647403
2020-02-19 09:30:00-05:00,94983.56301879883,506749.5834350586,-0.01616175450192281
2020-02-20 09:30:00-05:00,95044.53533935547,506749.5834350586,0.0006419249670026606
2020-02-21 09:30:00-05:00,97811.65194702148,506749.5834350586,0.02911389484714788
2020-02-22 09:30:00-05:00,97811.65194702148,506749.5834350586,0.0
2020-02-24 09:30:00-05:00,112841.90557861328,506749.5834350586,0.1536652671987664
2020-02-25 09:30:00-05:00,111866.72045898438,506749.5834350586,-0.008642047603046987
2020-02-26 09:30:00-05:00,123764.17236328125,506749.5834350586,0.10635380974325637
2020-02-27 09:30:00-05:00,134393.85385131836,506749.5834350586,0.08588657997757321
2020-02-28 09:30:00-05:00,154824.2685546875,506749.5834350586,0.1520189660307798
2020-02-29 09:30:00-05:00,154824.2685546875,506749.5834350586,0.0
2020-03-02 09:30:00-05:00,143231.60385131836,506749.5834350586,-0.07487627625558158
2020-03-03 09:30:00-05:00,119872.576171875,760228.076171875,-0.16308570909874898
2020-03-04 09:30:00-05:00,120915.38475036621,494075.6587982178,0.008699308981197085
2020-03-05 09:30:00-05:00,122305.02540588379,494075.6587982178,0.01149267033625656
2020-03-06 09:30:00-05:00,136725.81623840332,494075.6587982178,0.11790840797148294
2020-03-07 09:30:00-05:00,136725.81623840332,741201.1036529541,0.0
